Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
2452,207,399.176
2453,105,219.552
2454,358,704.911
2455,89,188.382
2456,284,609.921
2460,669,1714.097
2462,87,154.689
2463,160,393.658
2464,349,531.327
2465,6,11.125
2466,41,80.165
2469,95,212.647
2470,316,693.34
2471,50,114.67
2472,80,162.805
2473,141,267.895
2474,207,377.151
2475,1,1.08
2476,11,28.62
2477,518,1014.095
2478,892,1912.1
2479,196,424.045
2480,1556,3164.003
2481,380,875.885
2482,424,695.381
2483,447,839.385
2484,723,1468.003
2485,390,670.52
2486,1060,2042.087
2487,440,833.62
2488,109,214.505
2489,212,409.26
2490,22,48
2500,172,362.21
2502,83,157.442
2505,37,67.535
2506,51,101.17
2508,121,213.078
2515,176,342.015
2516,73,141.718
2517,129,258.566
2518,156,309.903
2519,137,289.4
2520,1,3.04
2525,124,257.943
2526,196,382.44
2527,228,483.648
2528,244,428.678
2529,296,632.623
2530,416,843.336
2533,252,502.398
2534,77,144.373
2535,175,446.467
2536,334,633.955
2537,346,627.376
2538,70,133.665
2539,409,834.905
2540,840,1726.387
2541,308,698.893
2545,34,59.843
2546,273,481.231
2548,179,317.18
2549,116,216.025
2550,778,1216.707
2551,57,105.95
2552,1,0.56
2555,0,0
2556,28,94.109
2557,24,68.9
2558,136,232.005
2559,3,9.02
2560,866,1552.073
2563,0,0
2564,124,235.9
2565,172,320.587
2566,311,540.155
2567,401,774.61
2568,67,120.71
2569,23,51.505
2570,391,824.989
2571,174,430.998
2572,76,191.635
2573,67,129.576
2574,82,170.44
2575,184,410.699
2576,151,299.908
2577,223,521.094
2578,65,115.714
2579,73,160.225
2580,301,793.995
2581,26,114.465
2582,162,485.293
2583,42,97.26
2584,2,4.85
2585,1,10.2
2586,29,65.815
2587,23,85.31
2588,13,82.88
2590,62,220.515
2594,129,380.195
2600,67,153.462
2601,3,32.2
2602,345,664.609
2603,53,171.84
2604,50,95.378
2605,147,323.743
2606,80,173.368
2607,132,273.21
2609,2,4.2
2611,343,664.648
2612,75,165.09
2614,262,529.409
2615,396,721.595
2616,1,9.62
2617,261,641.643
2618,32,113.13
2619,60,211.2
2620,411,1206.333
2621,118,404.088
2622,159,305.12
2623,6,9.25
2624,1,10.2
2625,1,2.4
2626,13,26.06
2627,74,147.925
2628,29,55.84
2629,3,8.5
2630,184,367.256
2631,10,20.59
2632,53,74.865
2633,7,9.78
2640,668,1427.851
2641,163,336.076
2642,99,263.055
2643,49,92.05
2644,42,122.08
2645,7,14.175
2646,137,443.202
2647,43,113.28
2648,19,49.966
2649,0,0
2650,479,1193.553
2651,8,26.2
2652,38,130.91
2653,39,105.595
2655,26,59.929
2656,8,25.29
2658,33,138.04
2659,10,18.57
2660,27,90.54
