Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
4210,314,566.969
4211,992,1663.563
4212,455,745.313
4213,585,2820.035
4214,730,1131.419
4215,421,707.066
4216,626,1005.951
4217,264,448.411
4218,392,634.407
4219,2,2.43
4220,398,649.298
4221,517,822.786
4223,328,549.351
4224,81,136.964
4225,26,38.227
4226,444,697.852
4227,281,470.819
4228,148,303.117
4230,0,0
4237,1,0.92
4270,104,182.553
4271,90,133.444
4272,166,275.407
4275,99,155.22
4276,1,3.3
4280,404,719.728
4285,405,694.625
4287,17,34.115
4300,666,1084.454
4301,343,542.571
4303,49,79.49
4304,262,420.539
4305,900,1434.505
4306,799,1537.162
4307,33,81.4
4309,68,110.538
4310,214,367.039
4311,248,454.521
4312,83,146.857
4313,61,107.495
4340,132,230.863
4341,297,563.978
4342,57,109.737
4343,163,329.396
4344,42,103.451
4345,0,0
4346,15,33.026
4347,25,42.952
4350,1258,2051.106
4352,517,901.096
4353,6,11.32
4354,23,33.795
4355,71,114.78
4356,84,151.152
4357,31,50.437
4358,28,52.06
4359,22,33.63
4360,5,9.47
4361,32,64.667
4362,24,43.865
4363,15,24.05
4364,1,2
4365,9,15.845
4370,208,399.38
4371,11,24.02
4372,3,5.32
4373,14,20.745
4374,10,16.485
4375,3,5.1
4376,3,7.96
4377,6,12.075
4378,3,5.94
4380,80,143.629
4381,8,26.544
4382,10,41.83
4383,6,9.06
4384,1,2.28
4385,7,19.424
4387,9,18.18
4388,2,5.34
4390,62,120.205
4400,29,41.545
4401,61,107.492
4402,2,2.18
4403,6,11.88
4404,3,7.36
4405,140,269.815
4406,12,24.785
4407,5,32.84
4408,12,16.83
4410,10,26.26
4411,2,4.04
4412,5,8.845
4413,48,79.769
4415,17,27.615
4416,2,4.53
4417,1,2.04
4418,1,1.08
4419,5,9.22
4420,1,4.32
4421,17,31.784
4422,7,15.65
4423,2,4
4424,4,10.49
4425,1,2.03
4426,0,0
4427,1,1.4
4428,7,18.93
4454,7,11.16
4455,405,646.304
4461,0,0
4462,0,0
4465,11,19.94
4467,9,17.09
4468,2,4.69
4470,8,24.99
4472,2,3.02
4474,0,0
4477,2,5.99
4478,8,58.79
4480,1,4.32
4481,2,42.84
4482,0,0
4486,2,5.09
4487,21,76.77
4488,8,19.85
4489,2,6.83
4490,22,33.525
4491,1,1.98
4492,1,6.12
4494,2,6.42
4496,1,4.32
4497,1,4.32
4498,0,0
4500,607,990.551
4501,71,107.594
4502,152,233.421
4503,464,746.346
4504,315,540.498
4505,527,837.214
4506,334,547.665
4507,772,1267.592
4508,279,510.058
4509,440,581.774
4510,716,1154.945
4511,309,508.883
4512,68,135.925
4514,121,236.977
4515,72,154.08
4516,103,182.841
4517,22,35.815
4518,185,325.73
4519,241,387.407
4520,413,618.505
4521,117,264.47
4550,125,193.448
4551,1715,2657.497
4552,461,1754.753
4553,176,301.526
4554,53,102.077
4555,296,454.271
4556,1235,1814.271
4557,250,454.66
4558,491,743.521
4559,147,292.692
4560,796,1345.203
4561,214,429.959
4562,230,434.347
4563,260,481.99
4564,277,1635.679
4565,436,690.733
4566,179,276.48
4567,183,342.79
4568,132,219.245
4569,63,123.68
4570,993,1805.16
4571,30,68.74
4572,27,45.9
4573,454,752.456
4574,47,88.628
4575,653,1073.143
4580,197,298.46
4581,68,171.685
4600,20,32.346
4601,15,25.778
4605,30,54.61
4606,40,70.51
4608,11,24.46
4610,188,377.912
4611,1,2.15
4612,5,6.28
4613,5,13.57
4614,27,48.19
4615,159,286.438
4620,8,11.98
4621,42,72.823
4625,24,52.84
4626,33,85.47
4627,5,13.87
4630,28,70.04
4650,667,1261.553
4655,1554,2824.402
4659,207,395.634
4660,223,451.235
4662,12,29.97
4670,1400,2433.7
4671,135,218.06
4673,14,38.72
4674,63,96.553
4676,18,29.235
4677,74,115.148
4678,23,49.96
4680,467,964.147
4694,7,12.59
4695,16,34.11
4697,1,10.36
4699,5,8.1
4700,165,328.838
4701,403,718.148
4702,281,509.478
4703,382,644.656
4704,4,5.47
4705,10,10.495
4706,1,1
4707,2,2.255
4709,2,8.4
4710,53,97.445
4711,38,85.445
4712,2,2.225
4713,0,0
4714,35,59.56
4715,47,151.86
4716,5,9.33
4717,10,25.42
4718,11,24.18
4719,10,22.605
4720,55,119.132
4721,30,43.06
4722,11,16.165
4723,7,11.265
4724,8,7.22
4725,9,39.315
4726,3,2.63
4727,2,2.33
4728,4,4.25
4730,8,28.565
4731,1,2.03
4732,1,4.32
4733,0,0
4735,3,7.96
4736,4,45.94
4737,82,152.335
4738,15,26.7
4739,3,7.51
4740,743,1281.167
4741,81,147.24
4742,13,21.01
4743,2,4.28
4744,12,24.765
4745,0,0
4746,3,2.415
4750,41,66.149
4751,33,58.89
4753,33,61.445
4754,14,37.44
4756,6,7.94
4757,10,32.366
4798,8,16.25
4799,10,23.71
4800,71,225.74
4802,27,49.845
4803,0,0
4804,16,28.57
4805,78,169.05
4806,22,41.76
4807,87,218.05
4808,5,11.56
4809,14,21.75
4810,198,460.697
4811,123,284.349
4812,139,287.52
4814,377,819.752
4815,574,863.159
4816,114,253.82
4817,269,540.858
4818,284,595.459
4819,74,171.4
4820,90,188.7
4821,8,16.395
4822,3,14.82
4823,2,5.29
4824,11,11.495
4825,265,573.12
4828,1,4.32
4829,15,129.179
4830,5,167.23
4849,8,12.215
4850,123,271.415
4852,22,41.475
4854,23,32.718
4855,8,11.86
4856,10,18.61
4857,1,1.02
4858,5,10.68
4859,2,7.28
4860,63,129.12
4861,11,23.88
4865,107,178
4868,224,349.212
4869,185,293.805
4870,753,1316.64
4871,170,608.399
4872,48,117.538
4873,172,299.97
4874,4,13.895
4875,40,618.015
4876,17,242.17
4877,32,77.492
4878,186,292.542
4879,230,378.324
4880,135,311.814
4881,67,96.185
4882,35,55.825
4883,39,76.315
4884,31,57.13
4885,55,96.142
4886,11,13.91
4887,24,42.458
4888,35,53.115
4890,1,4.32
4891,3,6
4895,39,68.457
5000,86,157.702
5001,0,0
5006,71,116.13
5007,70,112.706
5008,176,283.95
5009,90,143.032
5010,50,109.122
5011,109,181.872
5012,99,187.482
5013,128,209.901
5014,201,406.342
5015,101,164.904
5016,207,344.382
5017,69,115.181
5018,196,322.901
5019,250,395.883
5020,46,83.295
5021,129,225.956
5022,310,544.218
5023,240,356.404
5024,234,393.447
5025,98,177.002
5031,130,219.181
5032,182,299.298
5033,82,138.769
5034,182,294.463
5035,92,141.807
5037,89,141.474
5038,179,280.091
5039,126,202.06
5040,27,45.155
5041,218,360.249
5042,132,213.137
5043,254,396.91
5044,170,278.355
5045,181,283.021
5046,139,214.15
5047,139,225.424
5048,255,421.318
5049,253,420.435
5050,176,296.674
5051,287,475.873
5052,146,259.68
5061,141,270.636
5062,288,497.782
5063,196,344.769
5064,158,287.084
5065,165,294.702
5066,192,329.558
5067,121,193.003
5068,180,299.625
5069,170,307.963
5070,243,389.203
5071,1,1.5
5072,213,352.354
5073,229,382.302
5074,169,354.675
5075,235,422.357
5076,169,277.259
5081,159,309.349
5082,214,357.64
5083,120,192.512
5084,109,168.305
5085,221,368.304
5086,245,395.968
5087,154,242.442
5088,59,97.541
5089,138,239.158
5090,127,205.4
5091,149,233.144
5092,335,500.852
5093,201,310.366
5094,17,35.688
5095,352,551.029
5096,306,507.688
5097,327,500.868
5098,267,427.706
5106,3,3.82
5107,226,357.06
5108,573,926.722
5109,345,585.6
5110,131,216.042
5111,1,49.5
5112,275,457.073
5113,214,336.638
5114,554,937.081
5115,77,136.015
5116,166,286.934
5117,77,164.244
5118,364,646.809
5120,29,65.724
5121,41,65.892
5125,367,677.211
5126,121,186.874
5127,183,323.972
5131,24,53.28
5132,7,8.75
5133,13,26.95
5134,21,31.865
5136,15,25.605
5137,13,23.26
5138,9,15.17
5139,11,19.27
5140,14,20.632
5141,23,36.615
5142,19,32.735
5144,11,15.805
5150,4,6.808
5151,7,9.665
5152,115,192.439
5153,231,400.137
5154,59,103.635
5155,94,136.037
5156,15,26.7
5157,113,227.59
5158,588,960.872
5159,662,1124.929
5160,7,28.592
5161,264,410.08
5162,702,1189.587
5163,285,464.212
5164,82,131.893
5165,73,125.629
5166,39,70.358
5167,173,277.674
5168,101,163.776
5169,313,535.137
5170,57,96.63
5171,260,409.818
5172,159,272.342
5173,410,627.614
5174,103,173.169
5175,1,0.3
5201,65,104.46
5202,30,53.91
5203,57,104.595
5204,172,291.171
5207,1,0.96
5210,68,107.352
5211,914,1426.974
5212,294,419.955
5213,55,81.121
5214,426,729.015
5220,6,8.59
5221,23,33.278
5222,44,71.24
5223,109,212.981
5231,26,47.385
5232,15,48.262
5233,33,62.009
5234,54,118.437
5235,113,241.4
5236,6,10.13
5237,9,20.13
5238,136,230.85
5240,14,21.295
5241,41,77.155
5242,55,119.307
5243,15,33.37
5244,116,246.973
5245,78,178.884
5250,89,144.184
5251,384,716.476
5252,199,335.297
5253,326,587.582
5254,86,160.226
5255,268,471.787
5256,68,108.685
5259,16,25.35
5260,47,76.965
5261,3,2.715
5262,3,5.85
5263,1,1.02
5264,28,52.935
5265,5,7.58
5266,8,12.89
5267,14,21.86
5268,45,111.864
5269,1,1.08
5270,19,39.72
5271,58,133.538
5272,5,8.82
5273,1,1.92
5275,33,57.613
5276,30,90.53
5277,19,36.675
5278,4,6.37
5279,0,0
5280,42,89.98
5290,164,264.584
5291,69,113.164
5301,10,20.65
5302,17,28.58
5303,2,3.72
5304,10,18.68
5306,1,1.5
5307,6,6.14
5308,1,1.44
5309,2,2.2
5310,0,0
5311,2,2.04
5312,0,0
5320,21,39.96
5321,3,13.035
5322,11,24.675
5330,59,148.218
5331,10,23.86
5332,8,17.76
5333,90,207.46
5340,19,52.79
5341,74,189.715
5342,10,40.6
5343,74,326.033
5344,9,19.5
5345,46,123.393
5346,4,11.46
5350,23,35.675
5351,220,426.322
5352,171,351.633
5353,137,245.256
5354,17,32.185
5355,217,427.969
5356,24,65.992
5357,16,55.82
5360,32,79.68
5371,35,72.989
5372,41,77.541
5373,103,180.091
5374,25,47.254
5381,14,46.54
5400,26,47.427
5401,26,37.51
5410,13,20.253
5411,5,9.935
5412,38,79.105
5413,19,49.33
5414,3,5.772
5415,1,1.68
5416,5,11.314
5417,36,60.74
5418,5,9.41
5419,3,3.77
5420,4,9.1
5421,2,3.22
5422,30,64.7
5431,22,45.935
5432,1,5
5433,38,83.033
5434,13,33.43
5440,7,10.44
5451,23,46.73
5452,11,24.619
5453,106,241.656
5454,9,29.96
5455,2,6.18
5460,20,41.42
5461,82,131.176
5462,23,50.46
5464,10,17.8
5470,7,13.075
5471,2,3.6
5472,2,4.9
5473,17,33.865
5480,44,98.482
5481,20,34.194
5482,10,14.575
5483,18,45.46
5485,9,11.569
5490,1,1.53
5491,47,92.72
5493,2,3.24
5495,15,28.355
5501,213,394.55
5502,46,93.12
5510,4,5.73
5520,11,20.28
5521,6,7.925
5522,50,92.11
5523,48,101.61
5540,184,387.269
5550,15,25.94
5552,0,0
5554,61,117.865
5555,18,27.02
5556,79,141.375
5558,134,233.962
5560,7,17.8
5570,28,47.19
5571,54,89.801
5572,2,5.6
5573,50,91.355
5575,76,153.14
5576,22,38.25
5577,15,22.067
5580,5,12.37
5581,35,58.46
5582,26,48.448
5583,32,55.71
5600,161,305.534
5601,4,3.7
5602,21,43.055
5603,6,9.98
5604,8,13.63
5605,49,85.575
5606,123,259.698
5607,59,146.895
5608,204,422.165
5609,26,46.548
5630,1,1.5
5631,13,22.34
5632,0,0
5633,1,0.24
5640,19,37.373
5641,17,30.294
5642,0,0
5650,0,0
5651,1,1.2
5652,0,0
5653,0,0
5654,3,5.6
5655,0,0
5660,0,0
5661,3,9.32
5670,4,5.64
5671,2,0.975
5680,50,98.185
5690,43,113.835
5700,126,278.542
5710,58,148.485
5720,3,5.06
5722,4,8.04
5723,5,8.456
5724,2,11.5
5725,2,6.45
5730,2,3.95
5731,4,19.5
5732,19,21.48
5733,7,15.42
5875,1,1.16
6000,47,83.08
6001,0,0
6003,10,20.71
6004,12,24.06
6005,10,12.937
6006,68,113.626
6007,57,98.252
6008,144,259.955
6009,198,347.31
6010,257,390.006
6011,93,169.022
6012,86,161.268
6013,1,0.375
6014,197,335.596
6015,50,100.853
6016,99,162.42
6017,22,32.345
6018,556,828.173
6019,188,289.77
6020,294,489.377
6021,160,276.97
6022,116,179.035
6023,296,475.652
6024,317,498.005
6025,560,870.798
6026,542,784.56
6027,701,1152.584
6028,238,403.852
6029,46,71.652
6030,662,975.425
6031,161,245.255
6032,4,4.28
6033,6,16.92
6034,0,0
6035,108,179.42
6036,139,227.703
6037,64,102.44
6038,0,0
6041,79,183.35
6042,0,0
6043,2,3.01
6044,42,76.445
6050,146,255.024
6051,102,157.29
6052,112,179.387
6053,184,297.942
6054,346,524.09
6055,183,289.812
6056,620,994.341
6057,342,520.847
6058,356,463.931
6059,258,399.162
6060,152,215.93
6061,293,410.256
6062,373,530.991
6063,222,334.353
6064,421,591.292
6065,895,1470.099
6066,314,473.953
6068,1,3.06
6069,535,862.312
6070,132,178.256
6071,98,154.015
6072,26,36.43
6073,80,130.815
6074,38,64.595
6076,562,961.878
6077,0,0
6078,0,0
6081,108,205.396
6082,77,137.215
6083,122,229.864
6084,161,322.707
6090,2,14.94
6100,124,190.269
6101,202,301.197
6102,120,181.512
6103,84,129.995
6104,149,253.305
6105,196,299.801
6106,0,0
6107,640,914.324
6108,578,815.443
6109,363,445.26
6110,588,869.221
6111,462,711.029
6112,657,993.593
6121,80,139.161
6122,174,283.618
6123,42,83.46
6124,38,61.36
6125,54,104.617
6126,10,21.945
6147,287,393.324
6148,369,537.469
6149,390,614.432
6150,233,438.189
6151,104,174.974
6152,291,475.197
6153,240,386.387
6154,283,403.625
6155,1030,1574.137
6156,297,429.994
6157,234,371.689
6158,126,195.694
6159,30,44.717
6160,170,257.357
6161,1,1.08
6162,293,429.634
6163,1130,1549.826
6164,767,1197.064
6165,2,1.18
6166,111,177.902
6167,373,571.115
6168,510,758.69
6169,689,1063.303
6170,115,184.695
6171,363,613.669
6172,248,411.309
6173,144,242.764
6174,39,78.7
6175,56,87.845
6176,9,19.4
6180,67,115.795
6181,16,32.395
6207,26,41.665
6208,495,711.835
6209,33,68.85
6210,2035,2922.04
6211,158,281.865
6213,30,60.665
6214,12,22.755
6215,60,124.82
6218,8,15.88
6220,51,105.489
6221,6,13.895
6223,1,3.15
6224,13,30.015
6225,124,246.84
6226,17,46.361
6227,14,33.295
6228,2,4.58
6229,1,0.16
6230,502,881.344
6231,7,10.97
6232,210,363.43
6233,276,549.064
6236,48,90.895
6237,67,132.34
6239,85,151.63
6240,5,9.43
6243,1,1.05
6244,14,21.27
6251,8,15.19
6252,1,0.99
6253,26,55.35
6254,8,17.815
6255,52,88.445
6256,5,4.94
6258,49,95.162
6260,18,71.93
6262,11,23.7
6271,91,155.575
6275,24,46.46
6280,574,944
6281,137,251.515
6282,44,87.265
6284,16,41.53
6285,124,287.477
6286,17,66.655
6288,11,32.53
6290,52,95.887
6302,87,181.35
6304,56,109.509
6306,3,7.125
6308,10,19.86
6309,6,11.56
6311,4,5.21
6312,36,60.3
6313,3,3.93
6315,25,47.46
6316,4,11.62
6317,27,53.505
6318,4,7.69
6320,3,9.96
6321,4,7.64
6322,4,5.82
6323,6,9.215
6324,29,79.49
6326,4,8.12
6327,3,6.09
6328,4,10.29
6330,226,503.714
6331,0,0
6332,2,9.1
6333,121,283.792
6335,1,1.62
6336,0,0
6337,0,0
6338,2,1.18
6341,0,0
6343,0,0
6346,5,107.92
6348,9,19.51
6350,3,4.8
6352,0,0
6353,3,4.56
6355,0,0
6356,0,0
6359,0,0
6361,1,3.3
6363,0,0
6365,4,12.31
6367,3,25.88
6368,0,0
6369,2,6.595
6370,6,10.95
6372,0,0
6375,6,11.45
6383,19,47.04
6386,0,0
6390,14,26.515
6391,1,1.92
6392,3,6.83
6393,1,1.52
6394,0,0
6395,16,32.74
6396,2,4.21
6397,2,0.38
6398,8,15.18
6401,116,251.06
6403,3,4.16
6405,2,5.1
6407,4,7.15
6409,5,8.22
6410,5,10.68
6411,0,0
6413,1,3.15
6414,1,5.28
6415,15,25.09
6418,14,23.49
6419,0,0
6421,1,2.116
6423,1,1.48
6425,0,0
6426,2,8.52
6428,0,0
6429,2,5.12
6430,95,204.53
6432,59,123.68
6433,0,0
6434,8,38.4
6436,5,11.595
6437,4,19.8
6438,26,70.935
6440,3,7.185
6442,3,6.225
6443,11,84.415
6446,1,5.1
6447,0,0
6448,1,3.96
6450,69,210.75
6460,8,17.8
6461,4,6.8
6465,0,0
6466,0,0
6467,0,0
6468,0,0
6472,2,16.83
6473,0,0
6475,0,0
6476,1,1.5
6477,0,0
6479,2,2.54
6480,0,0
6485,3,5.15
6487,0,0
6488,0,0
6489,0,0
6490,1,1.05
6501,16,42.535
6502,33,63.389
6503,68,133.023
6504,4,7.86
6505,2,5.6
6506,0,0
6507,7,15.86
6509,0,0
6510,40,95.815
6511,5,9.165
6512,0,0
6513,3,10.81
6514,14,37.57
6515,2,3.92
6516,13,28.82
6517,2,4.08
6518,1,2.72
6519,1,1.9
6521,4,11.04
6522,4,6.12
6525,83,191.795
6528,8,17.62
6530,480,924.513
6531,2,2.59
6532,72,143.544
6535,34,72.17
6536,14,28.5
6537,17,77.08
6556,57,84.41
6558,22,25.815
6560,26,42.505
6562,26,37.18
6564,15,27.725
6566,140,227.245
6567,14,23.685
6568,2,4.11
6569,2,6.48
6572,0,0
6574,0,0
6575,0,0
6603,7,14.344
6606,0,0
6608,0,0
6609,13,18.99
6612,2,8.28
6613,0,0
6616,3,3.12
6620,2,5.04
6623,2,5.136
6627,1,4.888
6628,0,0
6630,5,15.53
6631,0,0
6632,0,0
6635,2,5.94
6638,10,45.55
6639,2,8
6640,3,10.31
6642,15,13.5
6643,1,0.96
6646,2,7.8
6701,104,1188.95
6705,9,39.732
6707,14,69.56
6710,2,7.52
6713,0,0
6714,13,41.776
6716,1,3.84
6718,1,1.575
6720,1,0.99
6721,2,1.725
6722,1,6.48
6725,97,609.632
6726,46,389.56
6728,19,162.45
6740,1,4.8
6743,9,68.743
6751,0,0
6753,3,17.465
6754,2,13.23
6758,0,0
6760,1,11.025
6765,13,46.097
6770,7,57.869
6798,0,0
6799,1,5.6
6901,1,1.62
6902,0,0
6904,1,1.92
6906,0,0
6907,0,0
6909,1,1.5
6910,1,1.5
6911,1,0.99
6912,1,0.96
6914,1,1.19
6915,2,2.6
6916,2,5.25
6918,1,1.02
6920,1,4.2
6921,1,0.75
6922,2,2.98
6923,0,0
6924,1,0.96
6926,2,6.7
6929,0,0
6931,2,4.05
6933,1,3.99
6934,0,0
6935,1,1.49
6943,0,0
6944,0,0
6946,3,3.08
6951,0,0
6952,1,1.52
6953,3,8.15
6954,1,1.2
6955,5,5.61
6956,1,1.67
6957,1,1.2
6959,2,5.385
6963,1,1.025
6964,0,0
6966,2,3.15
6968,2,8
6979,0,0
6981,1,1.84
6982,0,0
6984,0,0
6985,2,2.85
6988,1,1.08
6989,0,0
6990,2,5.82
6991,3,3.78
6992,0,0
7000,121,156.404
7004,146,161.557
7005,102,139.996
7006,3,3.33
7007,34,38.5
7008,102,134.812
7009,89,105.454
7010,78,113.742
7011,74,98.844
7012,16,19.98
7015,78,109.314
7016,14,19.44
7017,45,66.99
7018,139,180.436
7019,17,23.52
7020,39,58.264
7021,16,19.487
7022,14,20.22
7023,3,3.1
7024,13,16.14
7025,15,19.91
7026,7,15.2
7027,2,4.295
7030,66,107.052
7050,103,138.21
7051,0,0
7052,52,69.321
7053,61,75.985
7054,134,167.509
7055,3,3.06
7109,87,112.976
7112,67,92.836
7113,13,18.09
7116,22,33.105
7117,11,16.13
7120,20,21.865
7140,47,85.248
7150,83,111.396
7155,22,31.48
7162,17,21.617
7163,5,6.47
7170,36,49.862
7171,21,27.082
7172,21,30.38
7173,98,122.449
7174,1,1.53
7175,1,1.02
7176,0,0
7177,1,1.02
7178,2,2.13
7179,7,6.4
7180,1,1.52
7182,3,7.36
7184,10,11.09
7185,1,1.5
7186,3,5.92
7187,2,2
7190,40,52.125
7209,0,0
7210,2,2.77
7211,0,0
7212,15,19.49
7213,5,6.1
7214,5,5.68
7215,37,47.17
7216,28,36.377
7248,53,68.474
7249,65,92.085
7250,283,412.471
7252,31,49.857
7253,13,20.52
7254,2,2.38
7255,17,23.072
7256,29,154.745
7258,10,14.78
7259,1,1.08
7260,17,38.76
7261,1,1.05
7262,14,20.312
7263,2,2.16
7264,8,10.95
7265,0,0
7267,8,11.57
7268,11,19.84
7270,34,43.47
7275,44,64.06
7276,10,13.46
7277,49,74.719
7290,11,16.16
7291,1,2.1
7292,8,8.71
7300,14,19.27
7301,28,53.415
7302,8,10.822
7303,23,38.365
7304,55,82.46
7305,14,18.51
7306,51,67.77
7307,51,80.26
7310,121,184.634
7315,48,75.19
7316,24,34.07
7320,24,27.298
7321,20,35.09
7322,8,8.37
7325,25,42.53
7330,9,14.16
7466,0,0
7467,2,4.37
7468,0,0
7469,2,2.1
7470,1,1.02
7802,1,2.45
8576,0,0
9729,1,0.875
