Small Unit Installation Postcode,Jan 2011 - Installations Quantity,Jan 2011 - SGU Rated Output In kW,Feb 2011 - Installations Quantity,Feb 2011 - SGU Rated Output In kW,Mar 2011 - Installations Quantity,Mar 2011 - SGU Rated Output In kW,Apr 2011 - Installations Quantity,Apr 2011 - SGU Rated Output In kW,May 2011 - Installations Quantity,May 2011 - SGU Rated Output In kW,Jun 2011 - Installations Quantity,Jun 2011 - SGU Rated Output In kW,Jul 2011 - Installations Quantity,Jul 2011 - SGU Rated Output In kW,Aug 2011 - Installations Quantity,Aug 2011 - SGU Rated Output In kW,Sep 2011 - Installations Quantity,Sep 2011 - SGU Rated Output In kW,Oct 2011 - Installations Quantity,Oct 2011 - SGU Rated Output In kW,Nov 2011 - Installations Quantity,Nov 2011 - SGU Rated Output In kW,Dec 2011 - Installations Quantity,Dec 2011 - SGU Rated Output In kW
1860,0,0,0,0,0,0,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1885,1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,2,3.04,0,0,0,0,0,0,0,0
1890,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,1,22.5,0,0,0,0,1,12.21,0,0,0,0,1,10.4,1,23.1
2007,1,2.09,0,0,0,0,0,0,0,0,3,23.25,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,1.52,0,0,1,1.5,1,1.5,0,0,1,1.52,0,0,1,1.52,0,0,0,0,0,0,0,0
2009,3,4.52,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,13.78,7,30.018,3,11.97,0,0,5,8.73,1,1.56,1,7.05,1,1.54,0,0,0,0,0,0,2,2.845
2011,1,5.1,0,0,3,17.05,0,0,1,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,3.39,3,13.5,2,4.13,1,1.52,4,7.12,8,13.55,0,0,0,0,0,0,0,0,0,0,1,3.04
2016,0,0,1,1.5,2,3.36,3,5.22,3,5.54,6,12.99,2,3.83,0,0,0,0,0,0,0,0,0,0
2017,0,0,1,2.115,0,0,0,0,0,0,0,0,0,0,1,1.52,1,10.575,0,0,0,0,0,0
2018,9,28.06,5,10.58,4,6.44,5,9.5,15,33.06,9,14.965,1,1.52,0,0,1,1.5,0,0,0,0,0,0
2019,4,17.7,10,22.37,5,11.15,6,12.84,7,12.69,5,20.15,2,3.8,0,0,0,0,2,3.61,1,2.09,1,10.26
2020,7,16.1,9,20.35,11,21.36,15,27.11,6,10.665,13,22.695,0,0,0,0,0,0,1,1.52,2,3.8,0,0
2021,3,5.17,5,13.22,6,9.34,4,7.2,2,3.96,2,4.45,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,15.99,4,8.08,3,6.16,0,0,3,5.03,6,17.02,0,0,1,1.14,0,0,2,8.134,0,0,1,1.52
2023,2,9.39,4,12.24,2,5.27,1,2.04,4,12.75,4,15.9,1,1.504,0,0,0,0,0,0,1,9.5,0,0
2024,1,2,4,14.26,6,14.82,3,4.58,5,9.53,3,4.625,0,0,0,0,0,0,1,1.505,2,3.04,1,0.7
2025,1,1.14,5,8.73,4,14,1,5.1,4,8.015,3,6.28,1,2.3,0,0,1,8.904,0,0,0,0,0,0
2026,4,10.514,8,18.2,14,28.86,10,22.095,6,12.51,5,15.34,4,11.92,0,0,1,2.08,4,6.624,0,0,1,1.95
2027,0,0,0,0,1,3.04,1,1.52,0,0,1,9.86,0,0,0,0,1,2.35,1,0.98,1,1.52,0,0
2028,0,0,0,0,0,0,1,7.04,1,2.28,1,9.6,0,0,0,0,0,0,0,0,0,0,0,0
2029,2,3.08,3,10.38,1,1.52,0,0,3,7.15,5,24.87,1,2.09,1,2.66,0,0,0,0,0,0,0,0
2030,9,17.305,3,5.58,5,9.52,3,8.58,5,12.37,10,27.727,0,0,1,1.575,2,4.76,0,0,0,0,0,0
2031,16,40.584,20,40.278,13,27.273,14,30.73,9,21.02,18,46.7,2,4.52,1,3.29,1,4.515,2,7.71,1,1.52,2,3.025
2032,11,34.174,4,15.71,6,13.35,2,3.04,7,13.57,13,24.465,0,0,0,0,1,1.52,3,9.23,1,3.04,0,0
2033,6,16.92,3,5.3,3,4.54,5,25.36,3,4.54,4,8.035,0,0,0,0,0,0,0,0,2,7.04,2,6.66
2034,7,16.88,5,8.84,11,32.34,8,16.328,9,20.63,11,20.31,1,5.1,1,4,0,0,0,0,0,0,0,0
2035,29,54.08,22,47.9,24,49.49,14,34.15,14,28.11,25,47.6,2,2.98,1,1.52,1,1.65,2,4.4,3,6.42,6,13.45
2036,23,50.675,16,33.77,15,30.39,19,37.9,16,32.025,20,39.445,2,16.34,5,7.615,2,9.03,5,16.125,9,20.74,3,4.925
2037,3,5.24,0,0,3,3.88,6,16.23,11,19.675,6,17.79,0,0,1,2.28,0,0,0,0,1,3.08,0,0
2038,4,8.58,6,11,5,10.5,4,10.545,6,13.545,4,12.772,1,1.54,0,0,0,0,1,1.54,0,0,0,0
2039,5,9.77,5,9.685,2,4.56,4,16.18,8,20.79,10,18.855,1,1.47,1,2.88,1,3.01,0,0,1,1.5,0,0
2040,8,21.13,12,25.15,17,40.3,8,21.47,15,36.15,14,33.13,5,9.655,1,4.4,1,2,2,3.04,6,10.7,5,9.16
2041,3,4.54,7,13.89,5,13.79,6,11.36,7,15.32,7,13.504,2,3.44,1,3.81,1,1.54,1,1.505,1,4.9,2,3
2042,5,7.81,3,34.35,12,20.306,14,30.265,9,19.8,9,15.16,0,0,0,0,3,14.31,0,0,0,0,1,1.5
2043,6,8.784,2,4.54,2,3.66,1,1.48,4,9.74,4,6.15,0,0,0,0,0,0,0,0,0,0,0,0
2044,6,11.47,3,7.725,5,11.218,7,10.4,7,14.12,8,12.95,2,3.61,2,3.23,0,0,0,0,1,1.52,0,0
2045,2,3,2,12.34,8,27.31,3,4.7,9,21.5,4,7.64,1,2.28,0,0,0,0,0,0,1,5.13,1,2.15
2046,14,26.83,19,35.5,17,37.64,12,30.942,12,24.47,22,42.82,2,4.76,1,1.7,5,8.58,0,0,2,7.9,3,5.32
2047,3,5.26,4,10.41,4,8.604,6,9.36,9,17.53,10,30.32,0,0,1,3.01,2,4.66,0,0,0,0,1,3.04
2048,5,7.585,4,7.92,5,14.195,3,8.36,3,6.89,2,3,0,0,0,0,0,0,1,6.27,2,3.595,0,0
2049,6,12.15,5,17.48,4,7.35,4,6.51,7,14.339,12,22.445,0,0,0,0,0,0,0,0,4,8.46,1,3.04
2050,3,7.26,0,0,5,12.72,1,1.48,2,11.4,3,4.529,2,3.06,2,5.08,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9
2059,0,0,0,0,0,0,0,0,0,0,0,0,1,8.36,0,0,0,0,0,0,0,0,0,0
2060,2,10.37,4,7.5,3,8.56,3,5.12,4,8.72,4,9.31,0,0,2,24.11,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,1,2.54,1,1.54,0,0,0,0,0,0,0,0,0,0,1,17.16
2062,3,5.08,1,2.64,1,2.115,0,0,1,1.52,2,6.42,0,0,0,0,0,0,1,1.33,0,0,0,0
2063,4,5.07,6,9.835,7,13.79,4,8.16,2,3.6,4,5.59,1,1.52,0,0,1,2.22,4,10.42,0,0,3,10.485
2064,2,4.06,5,8.025,2,9.455,5,12.39,7,14.81,15,23.26,0,0,0,0,0,0,0,0,0,0,0,0
2065,12,22.894,6,12,15,26.13,3,5.76,30,52.52,16,30.125,0,0,1,1.52,2,4.67,1,2.64,2,3.37,1,2.8
2066,16,37.655,26,61.65,18,39.63,15,31.81,22,49.555,23,64.03,2,3.67,4,7.81,0,0,5,13.76,4,11.78,2,5.48
2067,7,13.58,17,36.04,16,31.63,10,23.224,17,32.95,19,32.42,1,1.54,0,0,1,3.33,6,46.225,2,3.4,0,0
2068,8,14,15,45.724,13,29.655,16,34.93,19,38.845,20,41.34,1,1.52,0,0,1,5.13,2,3.04,0,0,0,0
2069,11,22.105,21,55.625,12,34.85,13,25.043,18,49.336,12,19.17,0,0,2,4.48,0,0,1,3.7,5,18.39,1,1.62
2070,12,27.26,17,36.3,9,20.8,11,25.44,8,18.48,10,25.27,0,0,0,0,1,1.52,2,3.8,4,11.73,0,0
2071,9,26.165,9,19.02,10,25.69,10,28.01,5,12.465,13,25.59,1,1.52,0,0,0,0,1,4,3,6.08,1,5
2072,3,5.26,0,0,3,7.84,4,7.13,7,15.7,7,12.79,0,0,1,1.61,0,0,0,0,0,0,0,0
2073,5,7.58,10,17.06,8,21.235,8,24.56,16,42.96,19,55.164,2,17.465,3,6.24,2,5.54,2,3.02,1,4.94,1,1.52
2074,22,48.415,24,51.62,13,29.3,14,40.557,23,53.315,21,41.04,4,12.36,2,4.56,2,3.06,2,4.9,4,10.26,3,9.43
2075,16,43.984,13,27.84,12,26.36,8,16.83,11,19.85,15,34.275,2,11.07,2,4.56,3,4.56,2,4.48,0,0,5,11.08
2076,13,25.074,21,50.03,16,31.084,16,37.706,22,45.395,23,41.04,4,17.45,3,6.14,2,4.82,3,7.35,2,3.27,0,0
2077,47,80.22,28,57.5,24,53.885,12,57.57,15,32.32,24,51.315,0,0,4,12.995,0,0,5,12.425,2,3.02,3,4.525
2079,12,19.275,9,17.59,7,16.6,13,27.45,6,13.78,4,9.15,1,2.09,1,1.52,1,1.54,0,0,6,17.29,0,0
2080,1,2.03,1,1.44,1,1.5,1,3.96,4,9.255,3,6.48,1,2.28,0,0,0,0,0,0,1,1.52,1,3.99
2081,14,29.325,10,23.02,11,24.36,7,14.65,11,27.69,7,12.22,1,1.9,2,3.02,1,1.9,0,0,1,2.96,2,3.4
2082,12,36.3,12,29.88,6,16.55,10,25.45,5,12.36,12,28.084,0,0,1,5.92,1,1.505,1,2.74,0,0,1,2.09
2083,9,18.92,5,11.06,2,3.04,2,3.03,3,5.86,5,9.26,0,0,0,0,0,0,0,0,0,0,0,0
2084,6,29.42,5,25.36,4,9.73,5,15.33,1,4.14,5,20.508,0,0,1,4.18,0,0,1,1.52,1,1.9,2,6.57
2085,13,28.19,21,43.595,9,25.77,17,33.01,19,35.08,16,34.8,2,5.19,0,0,2,11.21,1,2.28,1,4.94,3,6.43
2086,25,63.67,12,27.91,10,18.57,15,35.37,11,20.49,13,24.17,4,9.035,3,9.64,1,1.52,3,5.08,1,1.57,2,3.075
2087,19,42.835,20,43.71,9,19.79,9,15.29,7,15.96,17,36.29,3,4.545,1,3.04,1,1.52,1,3.04,0,0,0,0
2088,6,20.29,13,24.54,21,56.36,10,32.39,21,65.795,8,19.99,0,0,1,2.28,1,1.52,5,11.945,3,13.165,0,0
2089,2,5.02,0,0,0,0,1,2.09,3,8.205,1,1.52,0,0,0,0,0,0,1,5.04,0,0,1,1.53
2090,4,6.08,1,3.15,3,4.39,6,13.6,2,3.52,6,9.755,0,0,0,0,0,0,0,0,2,4.54,0,0
2092,5,8.26,9,25.17,10,27.2,8,18.16,7,14.67,12,22.985,0,0,0,0,0,0,0,0,0,0,1,1.52
2093,15,30.63,9,26.565,15,31.394,14,26.79,12,31.485,20,38.695,2,3.24,1,2.2,5,13.75,1,1.5,1,1.52,3,7.725
2094,2,8.74,5,8.6,2,5.59,1,1.52,1,1.52,7,15.83,0,0,1,1.48,0,0,0,0,0,0,0,0
2095,6,14.73,3,7.94,5,10.15,7,15.04,6,10.88,5,8.34,0,0,0,0,0,0,1,1.48,2,13.63,0,0
2096,11,38.33,11,28.7,19,47.91,11,30.1,12,17.84,13,27.54,1,1.52,0,0,1,5.13,0,0,0,0,2,4.38
2097,21,49.528,24,60.89,9,20.84,10,20.87,22,54.53,17,32.065,1,3.055,1,2.09,1,1.52,1,2,2,5.8,1,1.48
2099,29,63.95,22,51.415,27,66.25,21,57.725,26,66.695,23,51.317,4,9.87,5,8.65,2,3.8,6,15.77,2,6.12,1,1.52
2100,21,55.775,29,68.32,18,50.74,18,33.755,21,64.55,25,54.3,0,0,0,0,2,3.35,2,6.27,2,6.46,3,8.15
2101,15,38.11,18,49.26,16,45.16,8,28.005,11,19.83,23,45.805,2,5.14,2,14.335,2,4,2,4.71,3,13.495,0,0
2102,11,33.69,7,11.07,7,14.31,10,22.98,7,14.31,9,16.31,0,0,2,3.47,1,1.95,0,0,0,0,1,1.52
2103,11,34.96,8,20.1,6,11.36,6,14.4,8,18.07,9,20.19,1,2.97,3,6.4,2,5.23,1,1.52,1,3.22,0,0
2104,3,12.76,2,5.32,2,3.03,1,1.68,5,11.63,3,4.56,0,0,0,0,0,0,0,0,0,0,0,0
2105,1,1.4,3,11.32,1,2.96,1,1.48,1,2.28,2,4.53,0,0,0,0,0,0,1,2.544,0,0,0,0
2106,12,23.915,7,18.72,5,12.704,4,8.77,3,6.74,7,13.24,0,0,0,0,1,1.505,2,5.32,1,6.02,0,0
2107,13,32.375,17,32.13,3,10.66,9,36.945,16,34.36,6,15.58,0,0,1,1.54,1,2.09,0,0,1,3.14,2,3.34
2108,0,0,0,0,2,3.99,0,0,1,2.76,2,4.53,1,7.99,0,0,0,0,0,0,0,0,0,0
2109,1,21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,6,25.55,14,33.62,6,19.98,2,6.392,7,19.45,13,29.01,0,0,2,3.045,1,2,2,2.56,0,0,1,5
2111,11,24.83,11,27.89,14,39.92,5,8.46,8,21.37,13,27.52,0,0,0,0,2,9.68,0,0,2,8.26,1,1.8
2112,33,65.26,33,56.74,21,47.205,16,33.365,26,52.75,31,61.49,1,1.54,2,4.08,2,3.53,1,1.52,3,5.06,5,8.11
2113,16,39.84,23,48.79,17,37.61,13,23.76,17,33.8,21,39.97,2,3.38,1,1.54,1,2.99,4,8.69,0,0,1,1.9
2114,20,39.35,17,32.49,27,58.46,20,36.39,18,37.322,27,61.785,0,0,2,4.49,3,4.64,0,0,3,5.09,3,6.06
2115,14,24.24,13,27.86,11,22.05,5,13.635,11,29.934,13,25.36,0,0,0,0,3,6.78,2,3.52,5,9.94,2,4.56
2116,8,14.145,5,7.94,8,16.37,4,8.08,4,9.99,9,18.226,0,0,0,0,2,3.8,0,0,1,4.56,4,6.99
2117,29,61.41,11,24.09,22,41.344,11,25.6,23,49.825,28,56.35,1,2.38,3,6.044,3,6.04,3,5.115,5,19.095,2,13.03
2118,64,119.155,40,81.86,38,73.51,30,54.88,44,85.06,48,87.135,3,7.68,3,6.31,3,6.46,7,14.18,2,3.42,8,20
2119,12,30.415,14,35.38,12,29.46,10,22.62,12,29.29,15,35.144,1,2.28,0,0,1,3,1,1.56,1,2.09,3,4.56
2120,25,51.86,21,38.72,16,25.984,11,31.3,24,49.225,22,49.46,2,3.02,1,1.26,4,7.05,1,1.5,0,0,3,5.13
2121,36,64.564,43,87.44,27,46.964,29,47.59,36,66.566,42,84.869,2,3.52,1,3.055,6,13.03,5,10.495,0,0,4,11.19
2122,39,72.6,48,96.685,30,55.03,23,42.93,50,95.115,71,123.615,0,0,3,5.51,2,3.04,5,7.98,2,4.11,3,13.68
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0
2125,34,68.175,34,64.904,23,39.234,26,51.26,19,38.19,39,88.45,1,1.52,0,0,2,4.11,2,5.52,7,15.12,5,8.55
2126,37,74.369,34,55.845,43,85.8,30,59.45,31,52.36,53,103.11,1,2.09,3,6.804,3,4.37,5,14.715,3,4.56,19,33.33
2127,2,3.04,0,0,0,0,0,0,1,1.47,2,3.02,0,0,0,0,0,0,0,0,0,0,0,0
2128,1,2.64,1,1.9,5,18.34,2,12.93,2,3.04,5,9.12,0,0,0,0,0,0,0,0,0,0,0,0
2130,2,5.305,7,13.86,5,10.275,2,3.04,1,1.52,3,6.32,0,0,0,0,1,1.54,1,7.6,1,1.52,1,3.33
2131,14,27.79,14,27.53,16,31.79,11,18.5,7,14.95,23,40.985,0,0,0,0,0,0,1,3.08,3,6.22,7,18.505
2132,6,10.13,11,21.6,14,30.53,6,10.04,8,15.6,15,27.02,0,0,0,0,4,9.9,0,0,2,5.22,1,1.5
2133,11,25.63,7,11.63,11,21.25,9,17.29,14,26.695,10,20.36,0,0,1,3,1,1.5,3,7.62,3,4.995,2,5.845
2134,7,16.82,12,26.7,14,28.38,11,25.43,6,10.56,18,39.08,0,0,0,0,1,1.52,5,10.66,1,1.62,3,4.96
2135,29,71.964,27,60.509,22,49.41,25,67.794,25,54.135,41,91.44,6,17.77,1,4.995,1,1.9,5,13.06,2,8.28,5,18.248
2136,10,16.7,9,17.59,9,16.015,11,22.05,6,19.26,7,12.56,2,3.06,0,0,0,0,0,0,3,6.048,1,3.08
2137,28,57.28,24,57.13,26,58.55,8,28.93,21,45.695,26,57.5,1,2.28,1,1.95,3,9.54,3,6.515,1,1.9,3,10.08
2138,13,24.55,9,20,12,28.97,10,18.74,7,11.99,11,24.67,0,0,0,0,1,1.54,4,8.085,1,1.9,2,4.58
2140,8,16.48,6,20.03,3,5.32,5,7.6,3,6.64,11,24.22,2,3.025,1,1.505,2,3.04,0,0,0,0,0,0
2141,39,69.45,42,84.9,37,61.934,27,53.53,36,66.3,54,98.48,7,13.845,2,4.6,7,15.01,6,9.88,6,10.16,8,14.015
2142,19,37.53,8,13.48,13,23.2,16,35.37,26,49.044,23,44.835,5,10.35,2,4,3,19.62,4,8.65,3,4.56,2,4.52
2143,14,38.35,7,11.62,16,27.15,16,33.14,17,30.3,12,18.57,0,0,0,0,1,1.54,3,4.5,6,12.87,2,3.04
2144,33,59.17,20,46.21,25,46.41,41,82.88,28,55.7,48,86.97,1,2.16,2,3.06,3,4.94,6,10.08,3,5.3,3,7.774
2145,98,183.849,86,160.764,99,183.344,76,145.798,97,175.258,127,265.14,12,22.26,14,23.38,8,14.88,11,22.825,15,27.4,29,74.475
2146,31,53.915,23,45.003,25,52.46,19,50.62,38,69.705,42,73.767,13,25.885,4,8.95,3,6.67,3,6.92,1,1.52,9,16.12
2147,77,149.407,56,121.624,69,129.235,50,92.228,79,146.095,81,151.719,17,32.485,5,8.33,10,19.74,10,17.75,14,25.92,10,20.91
2148,83,149.025,68,123.435,82,147.928,83,168.516,75,135.095,131,252.394,13,24.19,17,31.005,17,132.36,16,34.88,19,84.505,18,37.68
2150,3,4.21,4,7,7,12.5,5,8.87,8,14.655,9,19.71,1,2.28,1,9.9,0,0,0,0,3,4.54,0,0
2151,17,36.69,12,30.175,20,40.44,13,25.28,18,41.21,28,51.64,4,6.63,1,2.04,0,0,4,7.92,3,6.08,1,1.54
2152,24,51.77,13,26.415,12,23.325,6,15.42,6,21.4,16,30.935,2,3.9,1,2,5,8.24,3,6.605,1,1.9,3,6.62
2153,138,308.694,102,221.805,76,149.999,81,179.569,117,223.6,174,355.174,12,26.39,14,27.299,10,18.714,12,31.155,15,34.745,19,32.905
2154,93,212.195,67,151.126,54,112.729,42,91.295,66,153.785,84,177.289,8,15.395,14,27.24,5,12.605,7,13.58,7,14.3,9,19.48
