Small Unit Installation Postcode,Jan 2014 - Installations Quantity,Jan 2014 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Mar 2014 - Installations Quantity,Mar 2014 - SGU Rated Output In kW,Apr 2014 - Installations Quantity,Apr 2014 - SGU Rated Output In kW,May 2014 - Installations Quantity,May 2014 - SGU Rated Output In kW
2152,2,8.8,0,0,0,0,0,0,0,0
2153,6,17.285,9,25.34,11,46.105,6,21.115,1,4
2154,2,8,8,35.98,7,27.58,3,11,1,4.23
2155,20,65.086,26,94.812,27,108.445,18,74.885,5,20.08
2156,4,20.25,8,47.13,6,27,3,13.22,1,1.5
2157,0,0,1,6,1,6,0,0,1,5
2158,0,0,1,2,3,14.665,2,15.29,0,0
2159,1,6.75,0,0,2,8,1,3,0,0
2160,5,19.66,2,6,3,10,1,3.29,1,3
2161,4,15.09,6,22.5,1,2,4,22.75,0,0
2162,2,12.75,2,8,3,54.17,0,0,0,0
2163,1,4.85,1,68.25,2,8.04,0,0,0,0
2164,8,29.24,7,73.12,5,22.41,8,32.25,0,0
2165,5,16,8,25.5,10,31.91,6,20.82,1,2.25
2166,5,22.97,9,27.85,9,25.74,4,15.935,1,3
2167,3,10.8,8,26.13,3,8.47,2,8.658,1,3.5
2168,14,39.55,11,37,7,26.3,9,31.24,3,11
2170,25,93.29,16,46.985,25,89.494,20,87.035,11,42.5
2171,9,41,8,28.53,8,30.22,7,33.105,1,10.2
2172,1,3.5,1,3.12,0,0,1,4,0,0
2173,3,10.57,7,26.91,3,11,0,0,2,4.5
2174,1,5,1,3,0,0,0,0,1,75.5
2175,0,0,0,0,1,10,0,0,0,0
2176,15,51.21,13,44.74,8,32.67,6,23.85,4,15.56
2177,3,13.52,4,23.62,6,22.655,7,23.89,2,7
2178,3,17.56,2,7,2,21,1,5,0,0
2179,0,0,1,4.5,1,10,2,7.75,1,81
2190,6,99.12,0,0,4,14.5,1,2,0,0
2191,0,0,1,4.5,0,0,0,0,0,0
2192,0,0,1,3,1,4,0,0,0,0
2193,1,1.5,1,2.5,0,0,0,0,0,0
2194,0,0,0,0,0,0,1,3,0,0
2195,1,4.75,2,6,1,3,0,0,0,0
2196,6,23.64,1,15,4,14,3,12,1,4
2197,0,0,2,8,3,6.5,0,0,0,0
2198,3,12.93,0,0,1,3.5,0,0,0,0
2199,3,7,1,3.06,3,9.79,3,10.97,0,0
2200,7,36.525,0,0,3,9.75,8,28.35,2,86.23
2203,0,0,0,0,1,3.25,1,3.12,0,0
2204,0,0,5,9.53,2,32.62,4,43.5,2,4.616
2205,1,9,2,5.055,1,5.13,2,7.25,0,0
2206,0,0,2,9,0,0,4,15.5,0,0
2207,0,0,0,0,3,8.25,4,13.5,2,8.75
2208,0,0,1,100,3,23.96,0,0,0,0
2209,0,0,2,7.1,0,0,2,6,0,0
2210,2,7.335,1,3,4,10.52,4,37.08,3,8.5
2211,1,3,2,6.5,0,0,4,34.73,0,0
2212,2,24,3,113.5,0,0,1,4.75,0,0
2213,1,1.5,3,13.8,1,1,0,0,0,0
2214,1,3,1,2.5,1,3,0,0,0,0
2216,1,3,2,6.5,2,7.5,1,4,0,0
2217,0,0,4,13,4,11,2,4.805,0,0
2218,1,2.5,1,4.5,1,27,0,0,1,1.5
2219,0,0,1,2,0,0,2,13,0,0
2220,2,4.79,4,21,2,6,0,0,0,0
2221,1,5,0,0,1,3,2,7.055,0,0
2222,1,5,1,3.06,1,3,1,5.145,0,0
2223,1,5,0,0,1,2.25,6,45.25,1,5
2224,1,2,1,11,2,5.75,1,2.82,0,0
2225,0,0,0,0,0,0,0,0,0,0
2226,2,6,1,2,3,11.5,2,6.27,0,0
2227,1,2,1,2.5,2,7.27,3,6.54,0,0
2228,1,4,2,10,1,2,1,4.75,1,3
2229,4,17.25,0,0,2,8.5,1,3,0,0
2230,6,24.61,2,7.74,2,6.89,1,5,1,4.5
2231,1,4,0,0,0,0,2,11.445,0,0
2232,2,7.1,2,14.5,4,15.46,3,4.808,0,0
2233,4,14.5,4,11.75,5,20,4,11,3,7.45
2234,7,27.7,9,35.75,2,8,4,12.75,1,8.4
2250,19,73.18,13,52.25,21,188.25,15,53.935,2,15.75
2251,5,23.395,9,48.36,9,30.12,4,15.405,0,0
2256,2,3.75,3,8.12,2,7.25,3,10.5,0,0
2257,6,22.715,4,14,6,20.03,3,18.705,1,4.75
2258,0,0,0,0,1,2,1,6,0,0
2259,24,85.75,21,70.95,23,82.49,25,82.66,2,7.5
2260,5,17.25,6,19.74,4,33.517,3,11.5,1,2
2261,6,20,16,147.46,6,21.63,5,20.415,4,11
2262,7,25.555,7,20.75,7,26.49,3,6.675,1,2
2263,7,20.115,12,31.19,9,26.54,4,9.2,0,0
2264,4,12.02,6,18.285,3,10.095,4,14.5,4,21.77
2265,2,4.5,2,6.8,2,7.75,3,7.59,0,0
2267,2,8.1,0,0,1,3,0,0,0,0
2278,0,0,1,4,1,1.75,1,1.5,0,0
2280,4,10.5,5,14,8,28.375,13,44.115,4,16.72
2281,2,4.58,4,9.1,4,8.58,4,13.81,2,5
2282,4,13.5,3,10.25,10,47.7,7,26.97,0,0
2283,7,22.3,7,23.44,9,22.41,11,57.902,2,5.5
2284,2,9.5,4,9.53,5,12.75,6,23.56,1,2
2285,16,67.35,20,61.83,17,48.94,6,35.04,5,15.89
2286,0,0,4,11,2,6.85,5,11.815,1,3
2287,15,46.79,18,51.06,8,24.8,12,47.37,0,0
2289,5,14.25,11,32.12,0,0,2,9,0,0
2290,15,54.17,9,36.59,11,31.42,7,31.06,1,3.64
2291,2,8.1,2,6.12,1,2.5,6,21.25,0,0
2292,1,3,0,0,0,0,4,48,1,5
2293,2,17,1,1.25,1,2,0,0,1,2.5
2294,1,1.75,1,3,0,0,0,0,1,20
2295,2,2.808,0,0,4,8.86,1,2.08,0,0
2296,0,0,0,0,0,0,0,0,0,0
2297,0,0,2,13.71,3,9,1,2.08,0,0
2298,2,3.75,1,2.4,4,31.5,3,4.81,2,6.24
2299,6,17.58,3,7.5,3,34.5,2,3.9,1,3.9
2300,0,0,0,0,1,3,0,0,0,0
2302,0,0,0,0,0,0,0,0,0,0
2303,5,10.835,1,10,2,5.06,3,12.665,1,12.75
2304,8,27.45,4,15.085,3,9,2,7.68,0,0
2305,1,3.055,6,16.25,5,17.31,3,9.94,2,4.65
2306,0,0,0,0,0,0,0,0,0,0
2307,0,0,4,10.56,1,3.06,2,7.25,0,0
2308,0,0,0,0,0,0,0,0,0,0
2311,0,0,2,11.24,0,0,1,10,0,0
2312,1,2.5,0,0,0,0,1,2.25,0,0
2315,6,15.39,7,22.49,3,6.5,3,9.57,0,0
2316,4,10.41,3,4.5,2,7.5,3,6.145,1,3.5
2317,2,10.5,4,12,4,8.79,2,4,0,0
2318,9,28.96,6,17.16,2,5,9,31.9,2,7.16
2319,1,3.06,5,16.93,5,14.49,2,7,1,5
2320,13,51.3,21,70.61,17,79.055,14,59.245,0,0
2321,10,29.9,6,22.6,2,8.08,4,15.76,1,5.2
2322,7,12.77,8,107.77,12,45.03,11,54.14,2,104.68
2323,7,20.655,21,60.4,19,68.13,12,31.245,2,8.09
2324,16,65.65,13,39.77,25,82.79,5,15.21,3,10.08
2325,11,40.07,11,39.45,15,65.99,15,54.595,2,3.54
2326,2,6,4,10.58,4,12.06,2,5.5,0,0
2327,3,9.75,6,16.31,0,0,7,19.66,0,0
2328,3,8.63,0,0,2,5.5,1,3,0,0
2329,0,0,0,0,1,2,2,7.59,0,0
2330,4,40.78,7,43.075,11,106.26,14,66.18,4,15.84
2333,6,23.72,2,7.54,5,16.75,8,27.1,2,8.75
2334,1,4.59,2,5.83,2,8.75,1,1.5,0,0
2335,3,14,6,45.249,3,16.25,8,30,0,0
2336,3,11,2,4.07,2,4,1,4,0,0
2337,1,3.5,1,10,5,14.11,6,23.15,1,2.55
2338,0,0,0,0,1,1,2,6.53,3,13.78
2339,0,0,0,0,0,0,0,0,1,2.5
2340,18,75.91,27,193.065,26,111.41,30,140.45,7,28.28
2341,0,0,0,0,1,3,2,4.25,0,0
2342,0,0,0,0,0,0,0,0,0,0
2343,1,5.1,1,3,5,13.5,4,14.85,3,8.06
2344,2,7,2,6.4,0,0,0,0,0,0
2345,0,0,1,1.5,3,12.1,0,0,0,0
2346,1,1,3,6.4,3,10.34,3,10.1,1,2
2347,0,0,0,0,1,1.75,0,0,0,0
2350,16,59.77,11,39.035,22,77.83,15,57.885,7,26.8
2352,1,2,2,6.055,4,13.345,4,12.09,0,0
2353,5,8.55,2,14.8,0,0,2,3.575,0,0
2354,4,12,0,0,2,6,2,4,0,0
2355,0,0,1,3,0,0,0,0,0,0
2356,2,3.25,0,0,0,0,0,0,0,0
2357,3,17.07,3,15.2,2,5.06,5,16.62,0,0
2358,1,5,1,13,6,20.04,5,15.77,1,4.75
2359,0,0,0,0,1,4.75,2,13,0,0
2360,5,17.865,10,34.25,15,61.82,9,26.5,6,24.5
2361,1,3,1,4,0,0,0,0,0,0
2365,3,4.5,0,0,4,14,3,7,0,0
2369,1,2.5,0,0,1,4.8,0,0,0,0
2370,4,14.5,1,5,4,13.5,2,15.07,1,2
2371,2,7.5,0,0,0,0,0,0,0,0
2372,4,19.5,2,8.8,2,6,4,11.29,0,0
2379,0,0,0,0,0,0,0,0,0,0
2380,1,12,3,11,10,36.16,7,28.35,2,7.08
2381,0,0,0,0,0,0,0,0,0,0
2382,0,0,8,24.04,0,0,0,0,0,0
2386,1,5.015,0,0,0,0,0,0,0,0
2387,0,0,0,0,0,0,0,0,0,0
2388,0,0,2,6,1,21,3,12,0,0
2390,3,18.87,2,33.21,2,4.88,7,25.5,2,6.865
2395,1,3,0,0,1,3.5,0,0,0,0
2396,0,0,0,0,2,8.6,0,0,0,0
2397,1,3.055,0,0,0,0,0,0,0,0
2398,0,0,1,10,0,0,0,0,0,0
2399,0,0,1,6,3,14,1,4.5,0,0
2400,1,20,6,36.75,9,61.5,10,47,0,0
2401,0,0,0,0,1,5.5,0,0,0,0
2402,0,0,1,5,5,24.6,1,2,1,3.055
2403,0,0,0,0,1,1.2,0,0,0,0
2404,0,0,2,6.24,2,3,1,20,0,0
2405,0,0,1,5,0,0,2,6.9,0,0
2406,0,0,0,0,9,33.5,0,0,0,0
2408,0,0,0,0,0,0,1,3,0,0
2409,0,0,0,0,0,0,0,0,0,0
2410,0,0,0,0,0,0,0,0,0,0
2411,0,0,0,0,0,0,0,0,0,0
2415,0,0,0,0,0,0,0,0,1,2.04
2420,1,4.5,2,5,1,3,4,12.72,1,2.55
2421,1,3.055,1,5,2,10.75,1,5,0,0
2422,4,11,11,30.06,6,27.98,5,24.11,0,0
2423,6,16.64,1,3,4,9,3,7,1,4.5
2424,0,0,0,0,0,0,0,0,0,0
2425,3,7.06,1,2.5,1,3.12,0,0,0,0
2426,1,2,1,4,2,10.1,1,2.115,0,0
2427,3,7.5,1,1.5,5,13.675,0,0,0,0
2428,11,30.5,8,17.14,4,8.54,8,25.81,3,8.04
2429,2,6,5,9.25,7,29.81,4,9.08,0,0
2430,13,41.63,16,76.1,22,124.265,11,37.805,4,15.12
2431,1,2,4,11.25,7,18,5,10.46,2,4
2439,3,9,4,48,1,3.06,1,1.5,1,3
2440,18,107.08,24,98.395,21,63.345,19,64.55,1,0.8
2441,2,8,4,10.03,12,33.035,2,8.5,0,0
2443,5,10,7,18.5,14,43.78,10,28,2,9.5
2444,20,155.33,14,61.49,24,223.12,18,60.2,4,11
2445,7,25,4,8.5,3,7.44,3,7.25,1,3.055
2446,5,30.75,9,25.25,15,53.9,3,9.08,2,7.12
2447,3,8.305,8,31.88,14,40.635,4,12.81,1,2.82
2448,24,60.595,9,25.75,13,90.01,16,35.55,2,5.04
2449,1,3.25,1,4.5,3,8.815,5,17.565,1,1.71
2450,23,75.23,33,116.095,36,118.31,21,53.84,4,34.5
2452,19,56.315,12,34.655,10,23.3,6,16.975,1,4
2453,4,10.75,1,9.5,3,6,2,5,0,0
2454,3,10,8,17.26,0,0,1,1.17,1,5
2455,3,7.5,4,33.5,3,6.5,0,0,1,3.5
2456,15,53,16,38.025,20,61.34,14,44.75,6,19
2460,20,173.09,18,85.67,27,109.62,31,161.74,10,42
2462,1,3.5,4,11.5,1,2,2,4.8,0,0
2463,7,20.54,11,50.45,11,68,7,25.25,0,0
2464,6,19,11,46,3,10,5,16,1,3.5
2465,0,0,0,0,1,3,0,0,0,0
2466,0,0,1,3,0,0,6,24.56,0,0
2469,3,8.545,4,10.79,6,15.88,3,8.32,1,1.5
2470,12,34.53,12,129.75,8,24.03,16,52.42,3,8
2471,0,0,1,3,0,0,2,6,0,0
2472,1,4,2,2.75,0,0,1,3,0,0
2473,2,5.04,1,3,1,1.53,5,8.56,0,0
2474,2,2.25,5,12.75,6,18.325,8,17.15,0,0
2475,0,0,0,0,1,7,0,0,0,0
2476,0,0,0,0,0,0,0,0,0,0
2477,13,60.14,9,27.675,6,16.25,5,19,4,11.5
2478,9,30.62,19,61.715,19,61.29,14,37.145,2,7
2479,5,14.25,3,10.5,3,12.886,4,19.93,1,2.5
2480,28,104.39,39,141.248,23,79.39,46,146.22,6,22.815
2481,4,10,13,51.102,11,50.235,8,27.75,1,3
2482,4,9.45,3,9,3,5,4,39.61,5,10.925
2483,9,29.135,7,27.6,7,89.01,4,12.75,1,4.7
2484,16,56.055,21,73.565,21,92.07,21,101.08,2,8
2485,4,11,4,16.5,6,20.3,9,43.65,3,8.8
2486,23,73.67,28,89.805,24,96.685,38,104.5,13,89.455
2487,7,29.16,12,38.1,6,18.97,7,19.145,3,10
2488,3,27,0,0,4,10,3,7.75,1,1.75
2489,9,30.605,7,23.35,2,6,7,21,0,0
2490,1,1.5,2,10.5,2,2.48,0,0,0,0
2500,4,10.84,5,13.54,6,14.78,5,12.07,1,1.308
2502,1,2,6,17.56,4,11.5,0,0,1,5
2505,2,3.14,1,6.25,1,3,0,0,0,0
2506,4,12,0,0,3,6.12,3,11.25,0,0
2508,2,6.18,4,10.788,3,11.31,2,3.64,0,0
2515,2,4.04,4,10,1,5,7,34.31,1,1.95
2516,2,4,4,14.31,4,16.94,2,11.5,0,0
2517,4,13.79,4,11.55,4,7.1,7,20.83,2,32.93
2518,2,4.5,2,4.5,9,27.46,6,17.525,0,0
2519,4,11,4,11.04,8,23.23,2,8.5,0,0
2520,0,0,0,0,0,0,0,0,0,0
2525,2,5.75,4,10.19,3,7.96,4,13,1,2
2526,2,5,13,35.47,4,12.5,4,10.77,0,0
2527,8,27.28,7,19.11,11,33.045,4,22.42,1,3
2528,3,7.5,4,7.25,8,22.25,5,14.075,0,0
2529,9,27.31,5,16,11,36.225,5,17.995,3,9
2530,15,37.375,15,39.575,14,50.93,14,38.26,1,4
2533,6,15.965,6,16.91,4,12.93,4,33,2,4.5
2534,0,0,7,18.479,0,0,2,5.5,0,0
2535,1,3,2,12.56,5,14.56,3,11.12,2,3.645
2536,6,19.69,7,21.5,9,20.48,8,22.6,1,2.82
2537,2,5.82,10,21.7,4,12.44,6,15.04,1,3.12
2538,2,5.5,1,4.08,3,7.6,2,6.75,0,0
2539,8,21.91,6,15.7,6,13.53,9,16.77,3,11.91
2540,12,31.935,16,53.5,22,106.515,14,41.58,0,0
2541,8,24.555,19,56.55,8,35.665,7,22.205,4,16.7
2545,0,0,0,0,1,3.9,0,0,0,0
2546,4,12.27,6,18.21,6,30.1,4,9.37,1,3.5
2548,3,85.5,6,31.5,2,5,7,21.848,3,11
2549,2,4.305,1,2,3,6.5,3,20.5,0,0
2550,14,33.25,4,10.87,11,43.365,6,17.5,1,5
2551,2,4.5,2,7.5,5,14.58,5,12.25,0,0
2552,0,0,0,0,0,0,0,0,0,0
2555,0,0,0,0,0,0,0,0,0,0
2556,2,13,0,0,1,3,0,0,0,0
2557,5,19.5,1,1.5,3,6.75,6,29.79,2,12.645
2558,3,4.81,4,22.5,5,16,7,23.85,0,0
2559,0,0,0,0,0,0,0,0,0,0
2560,21,73.785,31,99.535,31,97.15,22,57.35,1,1.5
2563,0,0,0,0,0,0,0,0,0,0
2564,2,4.97,2,4.53,5,10.94,2,9,0,0
2565,4,12.5,10,48.91,11,49.425,10,34.03,2,4.645
2566,10,33.5,12,46.06,13,47.29,12,33.42,4,11
2567,16,159.995,16,46.75,19,64.12,27,95.93,2,7.5
2568,0,0,0,0,0,0,0,0,0,0
2569,1,5,0,0,1,4,1,3,0,0
2570,7,25.5,17,78.295,12,42.71,15,62.598,2,7
2571,13,31.72,7,16.4,7,32.5,5,28.5,2,9
2572,3,10.5,5,18,1,5,1,3,0,0
2573,2,5,1,3,1,3,0,0,0,0
