Small Unit Installation Postcode,Jan 2012 - Installations Quantity,Jan 2012 - SGU Rated Output In kW,Feb 2012 - Installations Quantity,Feb 2012 - SGU Rated Output In kW,Mar 2012 - Installations Quantity,Mar 2012 - SGU Rated Output In kW,Apr 2012 - Installations Quantity,Apr 2012 - SGU Rated Output In kW,May 2012 - Installations Quantity,May 2012 - SGU Rated Output In kW,Jun 2012 - Installations Quantity,Jun 2012 - SGU Rated Output In kW,Jul 2012 - Installations Quantity,Jul 2012 - SGU Rated Output In kW,Aug 2012 - Installations Quantity,Aug 2012 - SGU Rated Output In kW,Sep 2012 - Installations Quantity,Sep 2012 - SGU Rated Output In kW,Oct 2012 - Installations Quantity,Oct 2012 - SGU Rated Output In kW,Nov 2012 - Installations Quantity,Nov 2012 - SGU Rated Output In kW,Dec 2012 - Installations Quantity,Dec 2012 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,28.98,0,0,0,0,0,0,0,0,1,29.025,0,0,0,0,0,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,1,7.41,0,0,2,6.67,0,0,0,0,0,0,0,0,0,0,0,0
810,6,15.225,6,27.675,5,27.67,2,8.12,2,8.3,12,45.11,1,4.56,3,13.14,4,11.52,5,14.52,7,24.96,9,41.39
812,3,7.625,1,5.06,3,11.92,2,7.42,5,26.66,4,13.87,1,2.28,1,4.5,2,7.095,3,13.32,3,10.22,7,29.54
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,2,8.325,0,0,0,0,0,0,3,18.24,3,15.47,3,15.88,2,9,2,7.62,1,4.5,2,4.36,2,5.97
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,1,2.25,0,0,0,0,0,0,3,12.95,2,13.48,0,0,2,39.517,2,15.19,7,35.637,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.12
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,1,4.44,4,10.325,5,15.365,1,1.52,4,16.15,12,49.61,3,15.4,2,9,2,5.46,0,0,3,11.48,15,54.275
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,1,3,8,18.36,4,9.7,0,0,3,11.04,5,26.17,0,0,2,7.62,0,0,2,4.29,1,1.95,12,58.14
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,2,11.95
835,0,0,0,0,0,0,2,6.68,5,22.165,2,9.05,0,0,1,3.12,2,5.4,1,2.53,2,5.4,7,28.64
836,1,2.775,2,5.27,1,14.19,3,7.86,5,23.16,3,22.25,1,4.5,1,4.5,2,7.34,5,17.04,9,41.86,15,63.1
837,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,2,12.57,1,1.68,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,0,0,1,5.13
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,0,1,6.84,0,0,0,0,0,0,0,0,0,0,2,41.521,0,0
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.84
850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.32
851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.82,0,0
852,0,0,0,0,1,5,0,0,0,0,1,8.25,0,0,0,0,0,0,3,19.38,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.41,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,1,1.75,0,0,1,20,0,0,0,0,0,0,0,0
870,1,3.04,1,15,8,37.883,5,53.504,84,193.03,30,100.16,5,19.22,5,46.21,4,19.75,3,12.66,3,13.5,23,111.4
871,0,0,0,0,0,0,2,27.76,0,0,1,2,0,0,0,0,1,6,1,3.04,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,2,67.426,1,1.52,2,2.33,0,0,0,0,0,0,2,13.68
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36.514,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.41,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.41,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
