"Small.Unit.Installation.Postcode","Jan.2013...Installations.Quantity","Jan.2013...SGU.Rated.Output.In.kW","Feb.2013...Installations.Quantity","Feb.2013...SGU.Rated.Output.In.kW","Mar.2013...Installations.Quantity","Mar.2013...SGU.Rated.Output.In.kW","Apr.2013...Installations.Quantity","Apr.2013...SGU.Rated.Output.In.kW","May.2013...Installations.Quantity","May.2013...SGU.Rated.Output.In.kW","Jun.2013...Installations.Quantity","Jun.2013...SGU.Rated.Output.In.kW","Jul.2013...Installations.Quantity","Jul.2013...SGU.Rated.Output.In.kW","Aug.2013...Installations.Quantity","Aug.2013...SGU.Rated.Output.In.kW","Sep.2013...Installations.Quantity","Sep.2013...SGU.Rated.Output.In.kW","Oct.2013...Installations.Quantity","Oct.2013...SGU.Rated.Output.In.kW","Nov.2013...Installations.Quantity","Nov.2013...SGU.Rated.Output.In.kW","Dec.2013...Installations.Quantity","Dec.2013...SGU.Rated.Output.In.kW","Jan.2014...Installations.Quantity","Jan.2014...SGU.Rated.Output.In.kW","Feb.2014...Installations.Quantity","Feb.2014...SGU.Rated.Output.In.kW","Mar.2014...Installations.Quantity","Mar.2014...SGU.Rated.Output.In.kW","Apr.2014...Installations.Quantity","Apr.2014...SGU.Rated.Output.In.kW","May.2014...Installations.Quantity","May.2014...SGU.Rated.Output.In.kW","Jun.2014...Installations.Quantity","Jun.2014...SGU.Rated.Output.In.kW","Jul.2014...Installations.Quantity","Jul.2014...SGU.Rated.Output.In.kW","Aug.2014...Installations.Quantity","Aug.2014...SGU.Rated.Output.In.kW"
"0820",3,13.65,4,20.61,2,7.92,3,12.08,2,8.985,3,15.195,3,11,3,15.09,7,67.27,4,27.46,3,16.5,6,28.5,1,5.98,7,32.05,2,9.48,3,12.125,3,11.395,3,13.595,1,6.12,0,0
"0821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0822",0,0,0,0,2,14.56,1,4.59,2,8.37,6,42.46,3,18.7,0,0,2,10.02,1,4.5,3,15,1,15.3,2,7.5,1,4.5,1,4.5,2,9,1,6,0,0,1,4.5,2,10.62
"0828",1,6,1,4.5,0,0,1,6,0,0,0,0,0,0,0,0,1,13,1,19.89,1,23.4,0,0,0,0,1,1.5,0,0,1,100,0,0,0,0,0,0,0,0
"0829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0830",12,51.815,9,35.335,8,33.81,10,42.63,9,35.13,9,41.28,3,8.21,6,31.36,6,24.1,7,26.2,13,53.08,8,27.33,2,6.5,3,19,7,25.84,1,4.59,6,26.94,12,54.105,8,33.915,1,4.59
"0831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0832",10,39.12,9,33.86,10,38.55,7,22.99,6,19.57,11,52.845,6,27.665,6,25.59,6,25.52,6,19,7,25.645,6,22,2,6.92,5,23.24,9,39.58,1,4.505,10,42.88,4,18.005,4,19.095,2,9
"0834",0,0,2,7.05,4,14.56,0,0,2,8.88,0,0,1,5.88,0,0,2,8.5,2,7.53,0,0,0,0,0,0,0,0,2,5.5,3,9.5,2,10.59,0,0,1,4.5,1,6
"0835",2,11.57,1,4.5,5,21.18,1,4.5,1,4.56,3,11.4,1,16.17,5,23.29,4,16.5,5,22.835,3,13.5,3,13.93,2,10.42,1,4.5,1,4.5,1,4.42,1,5.98,3,16.69,2,9,1,4.5
"0836",6,43.38,1,4.56,3,14.32,6,28.46,11,48.525,5,63.47,5,28.59,5,25.078,3,12.935,7,32.6,9,44.38,6,25.91,2,7.59,8,37.4,9,37.88,6,34.535,5,28.72,9,43.615,5,27.185,2,10.71
"0837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4.5,1,4.5,3,15,0,0,2,9.98,0,0,1,5.98,1,4.5,0,0,0,0,0,0,0,0
"0838",1,4.59,0,0,0,0,0,0,0,0,2,9.085,0,0,0,0,0,0,0,0,1,3,1,4.68,0,0,0,0,1,6,1,4.5,1,3,1,6,0,0,1,6
"0840",0,0,0,0,0,0,0,0,1,4.5,0,0,1,6,0,0,0,0,1,4.42,2,11.52,1,4.5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,4.5
"0841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0845",0,0,0,0,0,0,0,0,0,0,1,3.06,0,0,0,0,2,13,2,9,2,7.5,1,3,1,4.5,1,2,2,8.92,1,4,2,8.005,1,14.84,0,0,0,0
"0846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0847",0,0,0,0,1,85,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0850",3,12.18,7,31.6,5,22.56,2,12.15,1,7.65,2,19.84,3,19,0,0,2,10.59,4,18,1,6,1,4.5,4,18.98,2,8.84,5,70.92,4,19.5,12,153.985,7,36.095,8,47.865,0,0
"0851",0,0,0,0,0,0,0,0,3,13.5,0,0,0,0,1,6,1,6,0,0,0,0,0,0,0,0,0,0,2,10.5,1,2,0,0,1,4.5,0,0,0,0
"0852",0,0,2,11.97,0,0,0,0,0,0,0,0,4,25.5,0,0,0,0,2,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0860",0,0,1,4,2,12,2,6.5,2,11.56,3,9.69,3,23.68,2,12.5,2,8.5,0,0,1,8,2,8,0,0,0,0,0,0,1,9.75,8,51.5,0,0,3,12,0,0
"0861",0,0,0,0,0,0,0,0,0,0,1,4.56,0,0,1,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0
"0862",0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0870",3,37.41,4,15.5,1,5,8,38.465,26,117.26,12,74.52,107,474.15,7,33.465,11,109.42,23,116.445,50,187.23,19,89.5,21,100.5,18,81.02,24,147.73,29,142.685,25,106.98,21,163.32,19,92,10,43.5
"0871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.5,0,0,0,0,0,0,0,0
"0872",2,14.04,0,0,1,5,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.65,0,0,0,0,1,10,1,7,0,0
"0880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
